date,dau,weekly_unique_users,feature_pageview_escrow_analysis,feature_pageview_payment_history,support_tickets_opened,support_tickets_resolved,p95_response_time_ms
2026-04-29,94,318,57,131,1,1,261
2026-04-30,101,331,62,142,2,1,268
2026-05-01,98,344,58,138,2,2,274
2026-05-02,41,344,18,48,0,1,239
2026-05-03,35,344,15,42,0,0,232
2026-05-04,118,388,72,167,2,2,286
2026-05-05,121,398,74,171,3,2,281
2026-05-06,114,407,68,162,2,3,291
2026-05-07,108,414,64,155,2,2,278
2026-05-08,103,422,61,148,1,2,268
2026-05-09,43,422,19,51,0,1,241
2026-05-10,37,422,16,44,0,0,234
2026-05-11,119,431,71,168,3,2,284
2026-05-12,127,442,77,178,3,3,291
2026-05-13,124,451,75,174,2,3,282
2026-05-14,121,461,73,170,2,2,288
2026-05-15,115,468,69,162,2,2,275
2026-05-16,44,468,20,52,1,1,244
2026-05-17,38,468,17,45,0,1,237
2026-05-18,128,479,78,181,3,2,287
2026-05-19,131,488,81,186,2,3,294
2026-05-20,127,498,78,179,2,2,289
2026-05-21,124,506,75,174,2,3,291
